Data Set 2:Time(s),Data Set 2:Force 1(N),Data Set 2:Force 2(N),Total Force,Integral of force,,
1.64,-0.157150269,-0.037849426,0.194999695,,,
1.645,-0.157150269,-0.031539917,0.188690186,,,
1.65,-0.148773193,-0.018928528,0.167701721,,,
1.655,-0.157150269,-0.016822815,0.173973084,,,
1.66,-0.148773193,-0.023132324,0.171905517,,,
1.665,-0.152961731,-0.03364563,0.186607361,,,
1.67,-0.161346436,-0.03364563,0.194992066,,,
1.675,-0.157150269,-0.039955139,0.197105408,,,
1.68,-0.16343689,-0.03364563,0.19708252,,,
1.685,-0.161346436,-0.035751343,0.197097779,,,
1.69,-0.155059814,-0.042060852,0.197120666,,,
1.695,-0.159248352,-0.037849426,0.197097778,,,
1.7,-0.148773193,-0.037849426,0.186622619,,,
1.705,-0.152961731,-0.029441833,0.182403564,,,
1.71,-0.157150269,-0.010513306,0.167663575,,,
1.715,-0.16343689,-0.016822815,0.180259705,,,
1.72,-0.152961731,-0.027336121,0.180297852,,,
1.725,-0.167633057,-0.035751343,0.2033844,,,
1.73,-0.161346436,-0.042060852,0.203407288,,,
1.735,-0.157150269,-0.039955139,0.197105408,,,
1.74,-0.167633057,-0.037849426,0.205482483,,,
1.745,-0.161346436,-0.037849426,0.199195862,,,
1.75,-0.16343689,-0.029441833,0.192878723,,,
1.755,-0.159248352,-0.039955139,0.199203491,,,
1.76,-0.157150269,-0.004203796,0.161354065,,,
1.765,-0.155059814,-0.012619019,0.167678833,,,
1.77,-0.150863647,-0.023132324,0.173995971,,,
1.775,-0.152961731,-0.025238037,0.178199768,,,
1.78,-0.16343689,-0.03364563,0.19708252,,,
1.785,-0.150863647,-0.027336121,0.178199768,,,
1.79,-0.157150269,-0.029441833,0.186592102,,,
1.795,-0.159248352,-0.037849426,0.197097778,,,
1.8,-0.159248352,-0.031539917,0.190788269,,,
1.805,-0.148773193,-0.035751343,0.184524536,,,
1.81,-0.152961731,-0.027336121,0.180297852,,,
1.815,-0.157150269,-0.037849426,0.194999695,,,
1.82,-0.159248352,-0.035751343,0.194999695,,,
1.825,-0.157150269,-0.029441833,0.186592102,,,
1.83,-0.152961731,0.002098083,0.150863648,,,
1.835,-0.14667511,-0.008415222,0.155090332,,,
1.84,-0.150863647,-0.025238037,0.176101684,,,
1.845,-0.161346436,-0.027336121,0.188682557,,,
1.85,-0.16343689,-0.031539917,0.194976807,,,
1.855,-0.157150269,-0.03364563,0.190795899,,,
1.86,-0.155059814,0.006309509,0.148750305,,,
1.865,-0.157150269,-0.008415222,0.165565491,,,
1.87,-0.165534973,-0.018928528,0.184463501,,,
1.875,-0.159248352,-0.03364563,0.192893982,,,
1.88,-0.150863647,-0.037849426,0.188713073,,,
1.885,-0.159248352,-0.039955139,0.199203491,,,
1.89,-0.157150269,-0.031539917,0.188690186,,,
1.895,-0.148773193,-0.031539917,0.18031311,,,
1.9,-0.152961731,-0.029441833,0.182403564,,,
1.905,-0.155059814,-0.035751343,0.190811157,,,
1.91,-0.152961731,-0.039955139,0.19291687,,,
1.915,-0.155059814,-0.037849426,0.19290924,,,
1.92,-0.157150269,-0.016822815,0.173973084,,,
1.925,-0.14667511,-0.027336121,0.174011231,,,
1.93,-0.152961731,-0.025238037,0.178199768,,,
1.935,-0.150863647,-0.03364563,0.184509277,,,
1.94,-0.155059814,-0.039955139,0.195014953,,,
1.945,-0.155059814,-0.044158936,0.19921875,,,
1.95,-0.150863647,-0.029441833,0.18030548,,,
1.955,-0.148773193,-0.029441833,0.178215026,,,
1.96,-0.152961731,0.002098083,0.150863648,,,
1.965,-0.150863647,-0.008415222,0.159278869,,,
1.97,-0.148773193,-0.018928528,0.167701721,,,
1.975,-0.159248352,-0.025238037,0.184486389,,,
1.98,-0.150863647,-0.031539917,0.182403564,,,
1.985,-0.155059814,-0.035751343,0.190811157,,,
1.99,-0.16343689,-0.035751343,0.199188233,,,
1.995,-0.157150269,-0.031539917,0.188690186,,,
2,-0.150863647,-0.039955139,0.190818786,,,
2.005,-0.152961731,-0.035751343,0.188713074,,,
2.01,-0.155059814,0,0.155059814,,,
2.015,-0.152961731,-0.014724731,0.167686462,,,
