Data Set 5:Time(s),Data Set 5:Force 1(N),Data Set 5:Force 2(N),
2.06,-0.5406036,-0.4205627,0.9611663
2.065,-0.5343246,-0.4142532,0.9485778
2.07,-0.5427017,-0.4289703,0.971672
2.075,-0.5406036,-0.4247665,0.9653701
2.08,-0.5259399,-0.4163589,0.9422988
2.085,-0.5364151,-0.405838,0.9422531
2.09,-0.5427017,-0.3911209,0.9338226
2.095,-0.5364151,-0.4100494,0.9464645
2.1,-0.5343246,-0.4142532,0.9485778
2.105,-0.5406036,-0.4205627,0.9611663
2.11,-0.5468903,-0.4121475,0.9590378
2.115,-0.5301285,-0.4205627,0.9506912
2.12,-0.5301285,-0.4268723,0.9570008
2.125,-0.5322266,-0.4205627,0.9527893
2.13,-0.5406036,-0.4142532,0.9548568
2.135,-0.5343246,-0.418457,0.9527816
2.14,-0.528038,-0.418457,0.946495
2.145,-0.5343246,-0.4205627,0.9548873
2.15,-0.5447998,-0.4289703,0.9737701
2.155,-0.528038,-0.418457,0.946495
2.16,-0.528038,-0.4226608,0.9506988
2.165,-0.5364151,-0.4205627,0.9569778
2.17,-0.5364151,-0.4226608,0.9590759
2.175,-0.5364151,-0.4247665,0.9611816
2.18,-0.5301285,-0.4289703,0.9590988
2.185,-0.5343246,-0.4289703,0.9632949
2.19,-0.5427017,-0.3869171,0.9296188
2.195,-0.5385132,-0.3995361,0.9380493
2.2,-0.5364151,-0.4100494,0.9464645
2.205,-0.528038,-0.4142532,0.9422912
2.21,-0.5343246,-0.4226608,0.9569854
2.215,-0.5322266,-0.4247665,0.9569931
2.22,-0.5238419,-0.3932266,0.9170685
2.225,-0.528038,-0.4037399,0.9317779
2.23,-0.5343246,-0.4079437,0.9422683
2.235,-0.528038,-0.4226608,0.9506988
2.24,-0.5322266,-0.4121475,0.9443741
2.245,-0.5385132,-0.4205627,0.9590759
2.25,-0.5406036,-0.4100494,0.950653
2.255,-0.5385132,-0.4142532,0.9527664
2.26,-0.5238419,-0.418457,0.9422989
2.265,-0.5322266,-0.418457,0.9506836
2.27,-0.528038,-0.418457,0.946495
2.275,-0.5322266,-0.4289703,0.9611969
2.28,-0.5322266,-0.4226608,0.9548874
2.285,-0.528038,-0.4268723,0.9549103
2.29,-0.528038,-0.418457,0.946495
2.295,-0.5301285,-0.4079437,0.9380722
2.3,-0.5322266,-0.3953247,0.9275513
2.305,-0.528038,-0.4016342,0.9296722
2.31,-0.5175552,-0.3974304,0.9149856
2.315,-0.5217514,-0.4100494,0.9318008
2.32,-0.5343246,-0.4121475,0.9464721
2.325,-0.5364151,-0.4121475,0.9485626
2.33,-0.528038,-0.418457,0.946495
2.335,-0.5196533,-0.4205627,0.940216
2.34,-0.5175552,-0.4163589,0.9339141
2.345,-0.5259399,-0.4142532,0.9401931
2.35,-0.5217514,-0.4163589,0.9381103
2.355,-0.5343246,-0.4205627,0.9548873
2.36,-0.528038,-0.4163589,0.9443969
2.365,-0.5322266,-0.418457,0.9506836
2.37,-0.5301285,-0.4205627,0.9506912
2.375,-0.5364151,-0.418457,0.9548721
2.38,-0.5301285,-0.4226608,0.9527893
2.385,-0.5301285,-0.4247665,0.954895
2.39,-0.5301285,-0.4205627,0.9506912
2.395,-0.5238419,-0.418457,0.9422989
2.4,-0.5322266,-0.4121475,0.9443741
2.405,-0.528038,-0.3932266,0.9212646
2.41,-0.5238419,-0.3869171,0.910759
2.415,-0.5217514,-0.4016342,0.9233856
2.42,-0.5238419,-0.4100494,0.9338913
2.425,-0.5217514,-0.4142532,0.9360046
2.43,-0.528038,-0.3953247,0.9233627
2.435,-0.5301285,-0.4037399,0.9338684
2.44,-0.5154648,-0.4037399,0.9192047
2.445,-0.528038,-0.4079437,0.9359817
2.45,-0.5301285,-0.4016342,0.9317627
2.455,-0.5196533,-0.4037399,0.9233932
2.46,-0.5217514,-0.4163589,0.9381103
2.465,-0.5196533,-0.4163589,0.9360122
2.47,-0.528038,-0.4226608,0.9506988
2.475,-0.5427017,-0.4247665,0.9674682
2.48,-0.5217514,-0.418457,0.9402084
2.485,-0.5259399,-0.418457,0.9443969
2.49,-0.5238419,-0.4100494,0.9338913
2.495,-0.5217514,-0.4142532,0.9360046
2.5,-0.5217514,-0.4121475,0.9338989
2.505,-0.528038,-0.418457,0.946495
2.51,-0.5217514,-0.4205627,0.9423141
2.515,-0.5238419,-0.418457,0.9422989
2.52,-0.5175552,-0.3827133,0.9002685
2.525,-0.528038,-0.4037399,0.9317779
2.53,-0.5196533,-0.4121475,0.9318008
2.535,-0.5238419,-0.4268723,0.9507142
2.54,-0.5196533,-0.418457,0.9381103
2.545,-0.5259399,-0.418457,0.9443969
2.55,-0.5322266,-0.4163589,0.9485855
2.555,-0.5133667,-0.4079437,0.9213104
2.56,-0.5175552,-0.418457,0.9360122
2.565,-0.5175552,-0.418457,0.9360122
2.57,-0.5238419,-0.4121475,0.9359894
