Time (s),PRESSURE_FORCE_X,PRESSURE_FORCE_Y,PRESSURE_FORCE_Z,TOTAL_FORCE_X,TOTAL_FORCE_Y,TOTAL_FORCE_Z,VISCOUS_FORCE_X,VISCOUS_FORCE_Y,VISCOUS_FORCE_Z
"                 477",6.010130087607e-02,4.166309779991e-02,1.732316693949e-02,6.198465024184e-02,5.283925600827e-02,1.816015460145e-02,1.883349365771e-03,1.117615820836e-02,8.369876619570e-04
"                 478",6.034033718376e-02,4.163494265517e-02,1.747421009985e-02,6.179009935789e-02,5.279238038263e-02,1.783068185074e-02,1.449762174129e-03,1.115743772746e-02,3.564717508904e-04
"                 479",6.064952298385e-02,4.162564850225e-02,1.763857857878e-02,6.218225578894e-02,4.990472106741e-02,1.727302015579e-02,1.532732805084e-03,8.279072565154e-03,-3.655584229970e-04
"                 480",6.090772707324e-02,4.163284211087e-02,1.770958948291e-02,6.286200844161e-02,5.099707501635e-02,1.774468186211e-02,1.954281368373e-03,9.364232905483e-03,3.509237920088e-05
"                 481",6.106918605696e-02,4.166517972733e-02,1.766102320679e-02,6.312968971436e-02,5.231578361781e-02,1.799413941536e-02,2.060503657398e-03,1.065060389048e-02,3.331162085652e-04
"                 482",6.117616650296e-02,4.169059526389e-02,1.747969610896e-02,6.322985066359e-02,5.127376145631e-02,1.860664391378e-02,2.053684160635e-03,9.583166192420e-03,1.126947804819e-03
"                 483",6.127657069347e-02,4.167693692436e-02,1.730841522611e-02,6.263641532171e-02,5.093463124703e-02,1.836310254597e-02,1.359844628241e-03,9.257694322661e-03,1.054687319861e-03
"                 484",6.147631066384e-02,4.167755697201e-02,1.739900995406e-02,6.331130881541e-02,5.328942694004e-02,1.847965687755e-02,1.834998151570e-03,1.161186996802e-02,1.080646923488e-03
"                 485",6.171999119031e-02,4.167949828557e-02,1.749853220914e-02,6.333839168474e-02,4.997328015325e-02,1.774686382921e-02,1.618400494425e-03,8.293781867676e-03,2.483316200768e-04
"                 486",6.191712163203e-02,4.168277972649e-02,1.735799258359e-02,6.320134070670e-02,5.018875095922e-02,1.778174840273e-02,1.284219074661e-03,8.505971232722e-03,4.237558191357e-04
"                 487",6.203165655341e-02,4.173273940717e-02,1.716284053687e-02,6.404468469280e-02,5.237877846855e-02,1.784972864868e-02,2.013028139394e-03,1.064603906138e-02,6.868881118004e-04
"                 488",6.207924694321e-02,4.178729213692e-02,1.690163504500e-02,6.365243051128e-02,5.234156256200e-02,1.736481159282e-02,1.573183568075e-03,1.055427042508e-02,4.631765478180e-04
"                 489",6.211050411839e-02,4.184815676173e-02,1.675757287125e-02,6.377426561941e-02,5.272245635848e-02,1.715579829131e-02,1.663761501023e-03,1.087429959675e-02,3.982254200624e-04
"                 490",6.221059910277e-02,4.190451448620e-02,1.688585260721e-02,6.423714291386e-02,5.414303466408e-02,1.866728049222e-02,2.026543811086e-03,1.223852017787e-02,1.781427885002e-03
"                 491",6.227356081098e-02,4.196150060358e-02,1.709746469479e-02,6.405587014790e-02,5.220374721519e-02,1.889781822325e-02,1.782309336919e-03,1.024224661161e-02,1.800353528457e-03
"                 492",6.217899840431e-02,4.199618343331e-02,1.718027399631e-02,6.396800489667e-02,5.136342870375e-02,1.820863861281e-02,1.789006492362e-03,9.367245270439e-03,1.028364616498e-03
"                 493",6.202822586127e-02,4.204369049672e-02,1.720061748733e-02,6.392209421547e-02,5.328400784506e-02,1.722486660473e-02,1.893868354207e-03,1.124031734834e-02,2.424911740057e-05
"                 494",6.185894722431e-02,4.208438092772e-02,1.711863312541e-02,6.368888746792e-02,5.384279913635e-02,1.785177828880e-02,1.829940243607e-03,1.175841820863e-02,7.331451633889e-04
"                 495",6.175774168770e-02,4.213488853858e-02,1.706859316965e-02,6.318717618035e-02,5.397027572546e-02,1.785848107204e-02,1.429434492653e-03,1.183538718688e-02,7.898879023882e-04
"                 496",6.169270162240e-02,4.219034872789e-02,1.715685153650e-02,6.311912702321e-02,5.302267044016e-02,1.821545992067e-02,1.426425400810e-03,1.083232171227e-02,1.058608384180e-03
"                 497",6.157378820968e-02,4.224358649226e-02,1.722120786648e-02,6.289432387503e-02,4.986782731257e-02,1.898651234088e-02,1.320535665344e-03,7.624240820312e-03,1.765304474399e-03
"                 498",6.145302988969e-02,4.228971816909e-02,1.726737521528e-02,6.323655999586e-02,5.457180027885e-02,1.864151756610e-02,1.783530106171e-03,1.228208210976e-02,1.374142350828e-03
"                 499",6.135534677832e-02,4.234872220071e-02,1.733019011253e-02,6.348150966472e-02,5.471260086607e-02,1.811332230614e-02,2.126162886400e-03,1.236387866536e-02,7.831321936107e-04
"                 500",6.127108519323e-02,4.238959216998e-02,1.736120282224e-02,6.313531170169e-02,4.967843301233e-02,1.835014587946e-02,1.864226508461e-03,7.288840842350e-03,9.889430572198e-04
"                 501",6.117643697467e-02,4.242750912440e-02,1.728004940399e-02,6.289051254130e-02,5.220951528595e-02,1.821176336637e-02,1.714075566628e-03,9.782006161548e-03,9.317139623865e-04
"                 502",6.107288478116e-02,4.246366883325e-02,1.712553784585e-02,6.291939664222e-02,5.614819955470e-02,1.781341247089e-02,1.846511861060e-03,1.368453072145e-02,6.878746250365e-04
"                 503",6.099632091719e-02,4.247583345074e-02,1.689528353909e-02,6.303480105537e-02,5.222593422257e-02,1.679459513994e-02,2.038480138178e-03,9.750100771835e-03,-1.006883991514e-04
"                 504",6.095836467223e-02,4.247288353822e-02,1.680675404557e-02,6.292773212970e-02,5.415695416663e-02,1.671447549977e-02,1.969367457468e-03,1.168407062841e-02,-9.227854579826e-05
"                 505",6.088027503307e-02,4.248785194162e-02,1.679597536571e-02,6.226789764217e-02,5.234423085478e-02,1.746307888154e-02,1.387622609097e-03,9.856378913160e-03,6.671035158333e-04
"                 506",6.080132987187e-02,4.249005059561e-02,1.681010168669e-02,6.282748679093e-02,5.276640655999e-02,1.865530649651e-02,2.026156919067e-03,1.027635596438e-02,1.845204809825e-03
"                 507",6.074719182531e-02,4.250163929124e-02,1.697471057600e-02,6.244749746314e-02,5.264374251404e-02,1.744649090802e-02,1.700305637831e-03,1.014210322280e-02,4.717803320162e-04
"                 508",6.069940794330e-02,4.249635975328e-02,1.715756466816e-02,6.262129909677e-02,5.256674320068e-02,1.800623407959e-02,1.921891153462e-03,1.007038344740e-02,8.486694114295e-04
"                 509",6.066145922153e-02,4.250522143052e-02,1.725546679537e-02,6.311818493895e-02,5.293807202226e-02,1.872545662069e-02,2.456725717420e-03,1.043285059174e-02,1.469989825317e-03
"                 510",6.061730017183e-02,4.252408026344e-02,1.732473512896e-02,6.229618830957e-02,5.459800211518e-02,1.849111519557e-02,1.678888137739e-03,1.207392185175e-02,1.166380066613e-03
"                 511",6.058178720265e-02,4.254761945356e-02,1.739535169703e-02,6.228004487893e-02,5.574780419069e-02,1.889219315592e-02,1.698257676281e-03,1.320018473713e-02,1.496841458889e-03
