Time (s),FORCE_COEFFICIENT_CD,FORCE_COEFFICIENT_CL,FORCE_COEFFICIENT_CLF,FORCE_COEFFICIENT_CLR,FORCE_COEFFICIENT_CM
"                1654",7.435455876183e-01,1.516688694424e-01,6.942582053491e-02,8.224304890751e-02,-6.408614186300e-03
"                1655",7.476743959248e-01,1.585778531480e-01,7.248090203831e-02,8.609695110968e-02,-6.808024535685e-03
"                1656",7.473639070338e-01,1.564103454002e-01,7.219743220385e-02,8.421291319631e-02,-6.007740496230e-03
"                1657",7.706899784168e-01,1.628147621359e-01,7.341068681831e-02,8.940407531763e-02,-7.996694249659e-03
"                1658",7.419295685095e-01,1.719954009056e-01,7.888699070482e-02,9.310841020076e-02,-7.110709747971e-03
"                1659",7.592518015191e-01,1.799303035556e-01,7.961469379682e-02,1.003156097588e-01,-1.035045798099e-02
"                1660",7.204039473424e-01,1.815445160832e-01,8.297698362668e-02,9.856753245656e-02,-7.795274414940e-03
"                1661",7.471314951424e-01,1.903439851223e-01,8.575074305213e-02,1.045932420702e-01,-9.421249509034e-03
"                1662",7.409412891365e-01,1.960403601731e-01,8.856373204205e-02,1.074766281311e-01,-9.456448044518e-03
"                1663",7.443032133906e-01,2.058405841005e-01,9.330097311856e-02,1.125396109820e-01,-9.619318931717e-03
"                1664",7.236035951447e-01,2.072456232355e-01,9.663417560975e-02,1.106114476258e-01,-6.988636008013e-03
"                1665",7.537583501689e-01,2.170372756831e-01,9.825264758593e-02,1.187846280972e-01,-1.026599025564e-02
"                1666",7.438119129785e-01,2.201801158328e-01,1.011596841504e-01,1.190204316824e-01,-8.930373766032e-03
"                1667",7.087693964561e-01,2.179666399541e-01,1.044345510297e-01,1.135320889244e-01,-4.548768947337e-03
"                1668",7.454544917077e-01,2.261316248468e-01,1.053020371704e-01,1.208295876764e-01,-7.763775252999e-03
"                1669",7.547410377939e-01,2.252333424637e-01,1.061798377736e-01,1.190535046902e-01,-6.436833458280e-03
"                1670",7.524211449524e-01,2.256955304151e-01,1.070582800218e-01,1.186372503934e-01,-5.789485185794e-03
"                1671",7.507781061786e-01,2.301566888675e-01,1.064221111162e-01,1.237345777513e-01,-8.656233317542e-03
"                1672",7.281248670606e-01,2.381538346998e-01,1.116332854532e-01,1.265205492466e-01,-7.443631896690e-03
"                1673",7.189624092872e-01,2.333557334286e-01,1.097423420829e-01,1.236133913457e-01,-6.935524631403e-03
"                1674",7.491750664273e-01,2.359976881675e-01,1.058287180675e-01,1.301689701000e-01,-1.217012601626e-02
"                1675",7.477179865235e-01,2.356179551130e-01,1.061379046559e-01,1.294800504572e-01,-1.167107290067e-02
"                1676",7.429141909299e-01,2.288485691319e-01,1.029592127440e-01,1.258893563879e-01,-1.146507182197e-02
"                1677",7.447502720040e-01,2.254212668213e-01,1.010887913901e-01,1.243324754313e-01,-1.162184202058e-02
"                1678",7.456047286234e-01,2.072207575029e-01,9.313238723144e-02,1.140883702715e-01,-1.047799152001e-02
"                1679",7.257905501497e-01,2.028835639887e-01,9.279727427911e-02,1.100862897095e-01,-8.644507715212e-03
"                1680",7.234556900078e-01,1.850989674928e-01,8.627657704854e-02,9.882239044425e-02,-6.272906697854e-03
"                1681",7.413476142030e-01,1.784235505597e-01,8.158581550625e-02,9.683773505344e-02,-7.625959773592e-03
"                1682",7.274432311034e-01,1.681516302737e-01,7.801742709236e-02,9.013420318132e-02,-6.058388044483e-03
"                1683",7.548654959020e-01,1.535277167281e-01,6.881780217597e-02,8.470991455213e-02,-7.946056188083e-03
"                1684",7.491726747632e-01,1.450434816674e-01,6.617379825521e-02,7.886968341221e-02,-6.347942578503e-03
"                1685",7.292186317584e-01,1.395390951050e-01,6.642468565464e-02,7.311440945033e-02,-3.344861897842e-03
"                1686",7.700452828629e-01,1.303486943688e-01,5.790035945709e-02,7.244833491171e-02,-7.273987727308e-03
"                1687",7.725697548090e-01,1.252264517109e-01,5.511723148233e-02,7.010922022856e-02,-7.495994373113e-03
"                1688",7.089603054622e-01,1.137816811483e-01,5.820101221788e-02,5.558066893040e-02,1.310171643741e-03
"                1689",7.474163874599e-01,1.176867480522e-01,5.591251627777e-02,6.177423177442e-02,-2.930857748324e-03
"                1690",7.546828417724e-01,1.201236567791e-01,5.630976887296e-02,6.381388790611e-02,-3.752059516574e-03
"                1691",7.587421242167e-01,1.141482150061e-01,5.303424132625e-02,6.111397367984e-02,-4.039866176796e-03
"                1692",7.342459974679e-01,1.153178331302e-01,5.594309304278e-02,5.937474008744e-02,-1.715823522331e-03
"                1693",7.478983780029e-01,1.097739108020e-01,5.450491238225e-02,5.526899841979e-02,-3.820430187692e-04
"                1694",7.508706413629e-01,1.029346905741e-01,5.211018616633e-02,5.082450440773e-02,6.428408793028e-04
"                1695",7.523172025986e-01,1.046259821552e-01,5.267486749245e-02,5.195111466276e-02,3.618764148465e-04
"                1696",7.566763234534e-01,1.007875040004e-01,5.269703304517e-02,4.809047095523e-02,2.303281044972e-03
"                1697",7.235949828614e-01,1.006891968543e-01,5.812507362622e-02,4.256412322806e-02,7.780475199078e-03
"                1698",7.490027076367e-01,1.021724443996e-01,5.494455221443e-02,4.722789218516e-02,3.858330014633e-03
"                1699",7.468109866688e-01,1.117335078183e-01,5.996112955700e-02,5.177237826131e-02,4.094375647846e-03
"                1700",7.474984745751e-01,1.125084115515e-01,6.074848199874e-02,5.175992955275e-02,4.494276222993e-03
"                1701",7.639908094613e-01,1.198123956969e-01,6.455223037021e-02,5.526016532670e-02,4.646032521758e-03
"                1702",7.258717224903e-01,1.235948421787e-01,7.053829861490e-02,5.305654356376e-02,8.740877525568e-03
"                1703",7.405829323855e-01,1.363477378493e-01,7.424325639683e-02,6.210448145247e-02,6.069387472179e-03
"                1704",7.623236454811e-01,1.489922402562e-01,7.640754136738e-02,7.258469888879e-02,1.911421239298e-03
"                1705",7.661117245263e-01,1.538477102885e-01,7.764333080261e-02,7.620437948594e-02,7.194756583352e-04
"                1706",7.364777287547e-01,1.598854600131e-01,8.146904547472e-02,7.841641453836e-02,1.526315468181e-03
"                1707",7.658504315136e-01,1.580911658842e-01,7.749064038864e-02,8.060052549558e-02,-1.554942553470e-03
"                1708",7.380021525926e-01,1.611863965436e-01,8.172884435288e-02,7.945755219071e-02,1.135646081086e-03
"                1709",7.655980195349e-01,1.685222181599e-01,8.224035199431e-02,8.628186616556e-02,-2.020757085627e-03
"                1710",7.480736100862e-01,1.702728292401e-01,8.492029238882e-02,8.535253685130e-02,-2.161222312422e-04
"                1711",7.561687945580e-01,1.725646200532e-01,8.431262330294e-02,8.825199675031e-02,-1.969686723685e-03
"                1712",7.626348683610e-01,1.781963686822e-01,8.455212627927e-02,9.364424240297e-02,-4.546058061848e-03
"                1713",7.643142444117e-01,1.790545202624e-01,8.534010467210e-02,9.371441559029e-02,-4.187155459096e-03
"                1714",7.514603884779e-01,1.831637824622e-01,8.766095235700e-02,9.550283010516e-02,-3.920938874081e-03
"                1715",7.509909555115e-01,1.855219908994e-01,8.863961188248e-02,9.688237901695e-02,-4.121383567235e-03
"                1716",7.505703116010e-01,1.893183123720e-01,8.807100623906e-02,1.012473061330e-01,-6.588149946949e-03
"                1717",7.540401542611e-01,1.892002420600e-01,8.830772653480e-02,1.008925155252e-01,-6.292394495206e-03
"                1718",7.485103384231e-01,1.950829512710e-01,9.092168987632e-02,1.041612613947e-01,-6.619785759185e-03
"                1719",7.655606147454e-01,1.878907269096e-01,8.411020729971e-02,1.037805196099e-01,-9.835156155102e-03
"                1720",7.493864134172e-01,1.904153438422e-01,8.633644527554e-02,1.040788985666e-01,-8.871226645536e-03
"                1721",7.602669877223e-01,1.934667343878e-01,8.669276347558e-02,1.067739709122e-01,-1.004060371833e-02
"                1722",7.427377835574e-01,1.949602435617e-01,9.002925335745e-02,1.049309902042e-01,-7.450868423394e-03
"                1723",7.532437002339e-01,1.911479251896e-01,8.812490996163e-02,1.030230152280e-01,-7.449052633185e-03
"                1724",7.687880316353e-01,1.895798779466e-01,8.643206338997e-02,1.031478145566e-01,-8.357875583324e-03
"                1725",7.505076405682e-01,1.841542162054e-01,8.714656201330e-02,9.700765419209e-02,-4.930546089397e-03
"                1726",7.460260307027e-01,1.837188771610e-01,8.900946607712e-02,9.470941108393e-02,-2.849972503404e-03
"                1727",7.604940250229e-01,1.822191015245e-01,8.849480186202e-02,9.372429966246e-02,-2.614748900223e-03
"                1728",7.665410729823e-01,1.730829324719e-01,8.268850283357e-02,9.039442963837e-02,-3.852963402403e-03
"                1729",7.579323403294e-01,1.680449750025e-01,8.240782284727e-02,8.563715215522e-02,-1.614664653974e-03
"                1730",7.585161785336e-01,1.747655440424e-01,8.469856265111e-02,9.006698139125e-02,-2.684209370069e-03
"                1731",7.539338274611e-01,1.815674775831e-01,9.066395591311e-02,9.090352166996e-02,-1.197828784233e-04
"                1732",7.327192326078e-01,1.774555465450e-01,9.133366072821e-02,8.612188581683e-02,2.605887455689e-03
"                1733",7.274006675061e-01,1.830624885497e-01,9.480664164726e-02,8.825584690248e-02,3.275397372388e-03
"                1734",7.559134625202e-01,1.890964998437e-01,9.189439065243e-02,9.720210919126e-02,-2.653859269413e-03
"                1735",7.625976013888e-01,1.917130105418e-01,9.247919692804e-02,9.923381361375e-02,-3.377308342855e-03
"                1736",7.639542839871e-01,1.850898400092e-01,8.954568265353e-02,9.554415735567e-02,-2.999237351071e-03
"                1737",7.484574702454e-01,1.895536848823e-01,9.331555825001e-02,9.623812663227e-02,-1.461284191129e-03
"                1738",7.321351002020e-01,1.791596656898e-01,9.069068663669e-02,8.846897905309e-02,1.110853791798e-03
"                1739",7.445674437263e-01,1.845727641435e-01,9.024688417395e-02,9.432587996954e-02,-2.039497897795e-03
"                1740",7.621268141915e-01,1.769334236360e-01,8.664739286553e-02,9.028603077050e-02,-1.819318952487e-03
"                1741",7.764133819700e-01,1.758923015767e-01,8.350070545505e-02,9.239159612161e-02,-4.445445333281e-03
"                1742",7.513374753601e-01,1.811587392736e-01,8.651516861298e-02,9.464357066065e-02,-4.064201023833e-03
"                1743",7.677342726594e-01,1.683083609075e-01,7.970731023794e-02,8.860105066951e-02,-4.446870215782e-03
"                1744",7.325939252721e-01,1.748903297162e-01,8.557125812762e-02,8.931907158853e-02,-1.873906730456e-03
"                1745",7.617417567612e-01,1.800153962914e-01,8.442004638550e-02,9.559534990595e-02,-5.587651760227e-03
"                1746",7.481681163348e-01,1.815680282850e-01,8.733261716135e-02,9.423541112368e-02,-3.451396981163e-03
"                1747",7.621531033650e-01,1.907753685518e-01,8.840432764756e-02,1.023710409042e-01,-6.983356628330e-03
"                1748",7.572322705148e-01,1.952726827851e-01,8.840298366370e-02,1.068696991214e-01,-9.233357728869e-03
"                1749",7.634690517689e-01,1.996053024489e-01,8.978282483438e-02,1.098224776145e-01,-1.001982639006e-02
"                1750",7.295204538073e-01,2.045544694121e-01,9.412156145862e-02,1.104329079535e-01,-8.155673247448e-03
