Time (s),PRESSURE_MOMENT_X,PRESSURE_MOMENT_Y,PRESSURE_MOMENT_Z,TOTAL_MOMENT_X,TOTAL_MOMENT_Y,TOTAL_MOMENT_Z,VISCOUS_MOMENT_X,VISCOUS_MOMENT_Y,VISCOUS_MOMENT_Z
"                 578",8.885697353105e-04,-1.437360676425e-03,2.516024654321e-03,4.676810776888e-04,-1.526422550261e-03,2.793247194976e-03,-4.208886576217e-04,-8.906187383638e-05,2.772225406548e-04
"                 579",8.730953421431e-04,-1.457934479879e-03,2.457885169616e-03,2.953702231056e-04,-1.502107931008e-03,2.775235485692e-03,-5.777251190375e-04,-4.417345112937e-05,3.173503160756e-04
"                 580",8.462614254917e-04,-1.473687471303e-03,2.409696843912e-03,3.134631849966e-04,-1.528781841884e-03,2.588328197434e-03,-5.327982404951e-04,-5.509437058099e-05,1.786313535221e-04
"                 581",7.813234776554e-04,-1.489014386234e-03,2.367191653486e-03,3.063086719851e-04,-1.621225678336e-03,2.411295313549e-03,-4.750148056703e-04,-1.322112921018e-04,4.410366006366e-05
"                 582",8.362489771374e-04,-1.523793067977e-03,2.330961428348e-03,2.784373668565e-04,-1.605299343109e-03,2.599540626231e-03,-5.578116102810e-04,-8.150627513281e-05,2.685791978827e-04
"                 583",9.036410782994e-04,-1.552717510238e-03,2.269956344839e-03,4.937350213804e-04,-1.591746317819e-03,2.483654052826e-03,-4.099060569189e-04,-3.902880758100e-05,2.136977079873e-04
"                 584",8.786724888233e-04,-1.553980340692e-03,2.203101370221e-03,3.282775867309e-04,-1.650863123692e-03,2.355286987434e-03,-5.503949020923e-04,-9.688278299965e-05,1.521856172129e-04
"                 585",9.645314347582e-04,-1.583662647224e-03,2.118408598331e-03,5.272224939139e-04,-1.644356399986e-03,2.283604899988e-03,-4.373089408443e-04,-6.069375276202e-05,1.651963016563e-04
"                 586",1.005977351685e-03,-1.599194257246e-03,2.043144055450e-03,5.050105037046e-04,-1.664709456903e-03,2.261478638905e-03,-5.009668479807e-04,-6.551519965705e-05,2.183345834552e-04
"                 587",1.124993628135e-03,-1.613503577631e-03,1.967063952606e-03,5.797090600313e-04,-1.610317666883e-03,2.307474883703e-03,-5.452845681036e-04,3.185910748593e-06,3.404109310973e-04
"                 588",1.260538375282e-03,-1.625384569070e-03,1.898021852015e-03,6.335279779125e-04,-1.643597411827e-03,2.084782331479e-03,-6.270103973698e-04,-1.821284275709e-05,1.867604794634e-04
"                 589",1.302420354295e-03,-1.624586585214e-03,1.838889163868e-03,8.880541816933e-04,-1.766060492636e-03,1.923685047814e-03,-4.143661726020e-04,-1.414739074223e-04,8.479588394584e-05
"                 590",1.362482472607e-03,-1.638168079664e-03,1.800142831046e-03,9.730571209403e-04,-1.753347019561e-03,2.051618086167e-03,-3.894253516671e-04,-1.151789398962e-04,2.514752551201e-04
"                 591",1.309490176594e-03,-1.634333496894e-03,1.782643170680e-03,8.978381313649e-04,-1.774146620514e-03,1.815308593849e-03,-4.116520452286e-04,-1.398131236202e-04,3.266542316891e-05
"                 592",1.253259960088e-03,-1.634355838383e-03,1.789730957420e-03,9.153083109179e-04,-1.720699135554e-03,1.943661494705e-03,-3.379516491700e-04,-8.634329717141e-05,1.539305372850e-04
"                 593",1.198960932825e-03,-1.626887927178e-03,1.824093147774e-03,6.654778053035e-04,-1.683543003697e-03,1.929099744325e-03,-5.334831275211e-04,-5.665507651857e-05,1.050065965509e-04
"                 594",1.113883959821e-03,-1.622696270875e-03,1.847567937738e-03,6.298822773632e-04,-1.705237596779e-03,2.109783614449e-03,-4.840016824581e-04,-8.254132590441e-05,2.622156767107e-04
"                 595",1.103481048639e-03,-1.628771514496e-03,1.880122150085e-03,5.903216425286e-04,-1.701296280975e-03,2.048916283062e-03,-5.131594061105e-04,-7.252476647941e-05,1.687941329769e-04
"                 596",1.070458595469e-03,-1.632986849341e-03,1.907651489308e-03,7.139477399732e-04,-1.700948166139e-03,2.097987553107e-03,-3.565108554958e-04,-6.796131679857e-05,1.903360637994e-04
"                 597",1.017005778978e-03,-1.632606177573e-03,1.939335180239e-03,6.853362670956e-04,-1.731195236393e-03,2.267951229054e-03,-3.316695118826e-04,-9.858905881997e-05,3.286160488150e-04
"                 598",9.145692487555e-04,-1.630395050490e-03,1.964873889369e-03,5.205001671761e-04,-1.705684776539e-03,2.155592741015e-03,-3.940690815793e-04,-7.528972604815e-05,1.907188516462e-04
"                 599",8.572927587491e-04,-1.624914579300e-03,1.981598102710e-03,3.719094786869e-04,-1.724901563968e-03,2.280040096651e-03,-4.853832800622e-04,-9.998698466775e-05,2.984419939416e-04
